Sr. No,Sample ID,Date,Location,Kit used,CtN,CtE,CtRdRp,PCR Result
501,SSBS/S/2022/501,18-02-2022,Dapodi Harris Bridge,Genepath,0,0,0,Negative
502,SSBS/S/2022/502,18-02-2022,"Dapodi, Sai service",Genepath,0,0,0,Negative
503,SSBS/S/2022/503,18-02-2022,"Wolf Colony, Pimpri",Genepath,0,0,0,Negative
504,SSBS/S/2022/504,18-02-2022,"Kalewadi, Adarsh Nagar",Genepath,0,0,0,Negative
505,SSBS/S/2022/505,18-02-2022,"Rahatani, New DP road",Genepath,0,0,0,Negative
506,SSBS/S/2022/506,21-02-2022,"Shivajinagar, Vaidhwadi Nala catchment",Genepath,34.16,35.38,34.51,Positive
507,SSBS/S/2022/507,21-02-2022,"Shivajinagar, Chaturshrungi Nala Catchment",Genepath,36.26,37.29,34.88,Positive
508,SSBS/S/2022/508,21-02-2022,Kothrud Sanjeevan hospital,Genepath,35.19,36.13,33.09,Positive
509,SSBS/S/2022/509,21-02-2022,Kothrud Karve road,Genepath,0,0,0,Negative
510,SSBS/S/2022/510,21-02-2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",Genepath,35.88,36.93,35.5,Positive
511,SSBS/S/2022/511,21-02-2022,"Bus Depot (main), Kothrud",Genepath,36.57,37.07,34.58,Positive
512,SSBS/S/2022/512,22-02-2022,"Jai Bhavani Nagar, Pashan",Genepath,0,0,0,Negative
513,SSBS/S/2022/513,22-02-2022,"Someshwarwadi, Pashan",Genepath,36.87,37.41,33.84,Positive
514,SSBS/S/2022/514,22-02-2022,"DP road, Botanical Garden, Aundh",Genepath,35.52,36.92,33.98,Positive
515,SSBS/S/2022/515,22-02-2022,Aundh,Genepath,36.38,38.58,23.38,Positive
516,SSBS/S/2022/516,22-02-2022,"Balewadi Phata, Baner",Genepath,34.64,35.28,32.69,Positive
517,SSBS/S/2022/517,22-02-2022,"Mahalunge Road, Baner",Genepath,35.96,0,28.72,Positive
518,SSBS/S/2022/518,23-02-2022,"Dattawadi, Rajaram Bridge",Genepath,36.63,39.09,35.14,Positive
519,SSBS/S/2022/519,23-02-2022,"Vitthalwadi-Hingne Shantinagar,",Genepath,35.62,38.04,36.07,Positive
520,SSBS/S/2022/520,23-02-2022,"Kasba Peth, Juna Bazaar, Shivajinagar",Genepath,0,0,0,Negative
521,SSBS/S/2022/521,23-02-2022,"Old bund garden, Yerwada",Genepath,0,0,0,Negative
522,SSBS/S/2022/522,23-02-2022,"RTO Office, Alandi road, Yerwada",Genepath,35.35,37.05,34.41,Positive
523,SSBS/S/2022/523,23-02-2022,"Shantinagar, Vishrantwadi",Genepath,35.69,37.8,35.08,Positive
524,SSBS/S/2022/524,24-02-2022,"Aditya Birla Hospital Road, Under bridge",Genepath,0,0,0,Negative
525,SSBS/S/2022/525,24-02-2022,"Shastri Nagar, Pimpri",Genepath,35,37.2,35.27,Positive
526,SSBS/S/2022/526,24-02-2022,"Kasarwadi, Pimple gurav road",Genepath,0,0,0,Negative
527,SSBS/S/2022/527,24-02-2022,"60-feet road, Pimple Gurav",Genepath,0,0,0,Negative
528,SSBS/S/2022/528,24-02-2022,Dapodi-Sangvi,Genepath,0,0,0,Negative
529,SSBS/S/2022/529,25-02-2022,"Rahatani, New DP road",Genepath,36.53,38.39,36.83,Positive
530,SSBS/S/2022/530,25-02-2022,"Kalewadi, Adarsh Nagar",Genepath,0,0,0,Negative
531,SSBS/S/2022/531,25-02-2022,"Wolf Colony, Pimpri",Genepath,0,0,0,Negative
532,SSBS/S/2022/532,25-02-2022,"Dapodi, Sai service",Genepath,0,0,0,Negative
533,SSBS/S/2022/533,25-02-2022,Dapodi Harris Bridge,Genepath,0,0,0,Negative
534,SSBS/S/2022/534,28-02-2022,"Bus Depot (main), Kothrud",Genepath,0,0,0,Negative
535,SSBS/S/2022/535,28-02-2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",Genepath,0,0,0,Negative
536,SSBS/S/2022/536,28-02-2022,Kothrud Karve road,Genepath,0,0,0,Negative
537,SSBS/S/2022/537,28-02-2022,Kothrud Sanjeevan hospital,Genepath,0,0,0,Negative
538,SSBS/S/2022/538,28-02-2022,"Shivajinagar, Chaturshrungi Nala Catchment",Genepath,0,0,0,Negative
539,SSBS/S/2022/539,28-02-2022,"Shivajinagar, Vaidhwadi Nala catchment",Genepath,0,0,0,Negative
540,SSBS/S/2022/540,1/3/2022,"Jai Bhavani Nagar, Pashan",Genepath,0,0,0,Negative
541,SSBS/S/2022/541,1/3/2022,"Someshwarwadi, Pashan",Genepath,0,0,0,Negative
542,SSBS/S/2022/542,1/3/2022,"DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
543,SSBS/S/2022/543,1/3/2022,"Balewadi Phata, Baner",Genepath,35.16,37.81,36.62,Positive
544,SSBS/S/2022/544,1/3/2022,"Mahalunge Road, Baner",Genepath,0,0,0,Negative
545,SSBS/S/2022/545,1/3/2022,Aundh,Genepath,0,0,0,Negative
546,SSBS/S/2022/546,2/3/2022,"Shantinagar, Vishrantwadi",Genepath,0,0,0,Negative
547,SSBS/S/2022/547,2/3/2022,"RTO Office, Alandi road, Yerwada",Genepath,0,0,0,Negative
548,SSBS/S/2022/548,2/3/2022,"Old bund garden, Yerwada",Genepath,0,0,0,Negative
549,SSBS/S/2022/549,2/3/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",Genepath,0,0,0,Negative
550,SSBS/S/2022/550,2/3/2022,"Dattawadi, Rajaram Bridge",Genepath,0,0,0,Negative
551,SSBS/S/2022/551,2/3/2022,"Vitthalwadi-Hingne Shantinagar,",Genepath,0,0,0,Negative
552,SSBS/S/2022/552,3/3/2022,"Aditya Birla Hospital Road, Under bridge",Genepath,0,0,0,Negative
553,SSBS/S/2022/553,3/3/2022,"Shastri Nagar, Pimpri",Genepath,0,0,0,Negative
554,SSBS/S/2022/554,3/3/2022,"Kasarwadi, Pimple gurav road",Genepath,0,0,0,Negative
555,SSBS/S/2022/555,3/3/2022,"60-feet road, Pimple Gurav",Genepath,0,0,0,Negative
556,SSBS/S/2022/556,3/3/2022,Dapodi-Sangvi,Genepath,0,0,0,Negative
557,SSBS/S/2022/557,4/3/2022,"Rahatani, New DP road",Genepath,31.58,36.72,36.54,Positive
558,SSBS/S/2022/558,4/3/2022,"Kalewadi, Adarsh Nagar",Genepath,0,0,0,Negative
559,SSBS/S/2022/559,4/3/2022,"Wolf Colony, Pimpri",Genepath,0,0,0,Negative
560,SSBS/S/2022/560,4/3/2022,"Dapodi, Sai service",Genepath,0,0,0,Negative
561,SSBS/S/2022/561,4/3/2022,Dapodi Harris Bridge,Genepath,0,0,0,Negative
562,SSBS/S/2022/562,7/3/2022,"Shivajinagar, Vaidhwadi Nala catchment",Genepath,0,0,0,Negative
563,SSBS/S/2022/563,7/3/2022,"Shivajinagar, Chaturshrungi Nala Catchment",Genepath,0,0,0,Negative
564,SSBS/S/2022/564,7/3/2022,Kothrud Sanjeevan hospital,Genepath,0,0,0,Negative
565,SSBS/S/2022/565,7/3/2022,Kothrud Karve road,Genepath,0,0,0,Negative
566,SSBS/S/2022/566,7/3/2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",Genepath,36.73,37.87,0,Positive
567,SSBS/S/2022/567,7/3/2022,"Bus Depot (main), Kothrud",Genepath,0,0,0,Negative
568,SSBS/S/2022/568,8/3/2022,"Mahalunge Road, Baner",Genepath,0,0,0,Negative
569,SSBS/S/2022/569,8/3/2022,"Balewadi Phata, Baner",Genepath,33,35.84,0,Positive
570,SSBS/S/2022/570,8/3/2022,Aundh,Genepath,0,0,0,Negative
571,SSBS/S/2022/571,8/3/2022,"Someshwarwadi, Pashan",Genepath,0,0,0,Negative
572,SSBS/S/2022/572,8/3/2022,"Jai Bhavani Nagar, Pashan",Genepath,0,0,0,Negative
573,SSBS/S/2022/573,8/3/2022,"DP road, Botanical Garden, Aundh",Genepath,32.18,36.4,0,Positive
574,SSBS/S/2022/574,9/3/2022,"Dattawadi, Rajaram Bridge",Genepath,0,0,0,Negative
575,SSBS/S/2022/575,9/3/2022,"Vitthalwadi-Hingne Shantinagar,",Genepath,0,0,0,Negative
576,SSBS/S/2022/576,9/3/2022,"Old bund garden, Yerwada",Genepath,0,0,0,Negative
577,SSBS/S/2022/577,9/3/2022,"RTO Office, Alandi road, Yerwada",Genepath,0,0,0,Negative
578,SSBS/S/2022/578,9/3/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",Genepath,0,0,0,Negative
579,SSBS/S/2022/579,9/3/2022,"Shantinagar, Vishrantwadi",Genepath,35.95,0,37.64,Positive
580,SSBS/S/2022/580,10/3/2022,"Aditya Birla Hospital Road, Under bridge",Genepath,0,0,0,Negative
581,SSBS/S/2022/581,10/3/2022,"Kasarwadi, Pimple gurav road",Genepath,0,0,0,Negative
582,SSBS/S/2022/582,10/3/2022,"Shastri Nagar, Pimpri",Genepath,0,0,0,Negative
583,SSBS/S/2022/583,10/3/2022,"60-feet road, Pimple Gurav",Genepath,0,0,0,Negative
584,SSBS/S/2022/584,10/3/2022,Dapodi-Sangvi,Genepath,0,0,0,Negative
585,SSBS/S/2022/585,11/3/2022,"Rahatani, New DP road",Genepath,0,0,0,Negative
586,SSBS/S/2022/586,11/3/2022,"Kalewadi, Adarsh Nagar",Genepath,0,0,0,Negative
587,SSBS/S/2022/587,11/3/2022,"Wolf Colony, Pimpri",Genepath,0,0,0,Negative
588,SSBS/S/2022/588,11/3/2022,"Dapodi, Sai service",Genepath,0,0,0,Negative
589,SSBS/S/2022/589,11/3/2022,Dapodi Harris Bridge,Genepath,0,0,0,Negative
590,SSBS/S/2022/590,14-03-2022,"Shivajinagar, Vaidhwadi Nala catchment",Genepath,0,0,0,Negative
591,SSBS/S/2022/591,14-03-2022,"Shivajinagar, Chaturshrungi Nala Catchment",Genepath,0,0,0,Negative
592,SSBS/S/2022/592,14-03-2022,Kothrud Sanjeevan hospital,Genepath,0,0,0,Negative
593,SSBS/S/2022/593,14-03-2022,Kothrud Karve road,Genepath,0,0,0,Negative
594,SSBS/S/2022/594,14-03-2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",Genepath,0,0,0,Negative
595,SSBS/S/2022/595,14-03-2022,"Bus Depot (main), Kothrud",Genepath,0,0,0,Negative
596,SSBS/S/2022/596,15-03-2022,"Mahalunge Road, Baner",Genepath,0,0,0,Negative
597,SSBS/S/2022/597,15-03-2022,"Balewadi Phata, Baner",Genepath,0,0,0,Negative
598,SSBS/S/2022/598,15-03-2022,Aundh,Genepath,0,0,0,Negative
599,SSBS/S/2022/599,15-03-2022,"Someshwarwadi, Pashan",Genepath,0,0,0,Negative
600,SSBS/S/2022/600,15-03-2022,"Jai Bhavani Nagar, Pashan",Genepath,0,0,0,Negative
601,SSBS/S/2022/601,15-03-2022,"DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
602,SSBS/S/2022/602,16-03-2022,"Dattawadi, Rajaram Bridge",Genepath,0,0,0,Negative
603,SSBS/S/2022/603,16-03-2022,"Vitthalwadi-Hingne Shantinagar,",Genepath,0,0,0,Negative
604,SSBS/S/2022/604,16-03-2022,"Kasba Peth, Juna Bazaar, Shivajinagar",Genepath,0,0,0,Negative
605,SSBS/S/2022/605,16-03-2022,"Old bund garden, Yerwada",Genepath,0,0,0,Negative
606,SSBS/S/2022/606,16-03-2022,"RTO Office, Alandi road, Yerwada",Genepath,0,0,0,Negative
607,SSBS/S/2022/607,16-03-2022,"Shantinagar, Vishrantwadi",Genepath,0,0,0,Negative
608,SSBS/S/2022/608,17-03-2022,Dapodi-Sangvi,Genepath,0,0,0,Negative
609,SSBS/S/2022/609,17-03-2022,"60-feet road, Pimple Gurav",Genepath,0,0,0,Negative
610,SSBS/S/2022/610,17-03-2022,"Kasarwadi, Pimple gurav road",Genepath,0,0,0,Negative
611,SSBS/S/2022/611,17-03-2022,"Shastri Nagar, Pimpri",Genepath,0,0,0,Negative
612,SSBS/S/2022/612,17-03-2022,"Aditya Birla Hospital Road, Under bridge",Genepath,0,0,0,Negative
613,SSBS/S/2022/613,21-03-2022,"Shivajinagar, Vaidhwadi Nala catchment",Genepath,0,0,0,Negative
614,SSBS/S/2022/614,21-03-2022,"Shivajinagar, Chaturshrungi Nala Catchment",Genepath,0,0,0,Negative
615,SSBS/S/2022/615,21-03-2022,Kothrud Sanjeevan hospital,Genepath,0,0,0,Negative
616,SSBS/S/2022/616,21-03-2022,Kothrud Karve road,Genepath,0,0,0,Negative
617,SSBS/S/2022/617,21-03-2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",Genepath,0,0,0,Negative
618,SSBS/S/2022/618,21-03-2022,"Bus Depot (main), Kothrud",Genepath,0,0,0,Negative
619,SSBS/S/2022/619,22-03-2022,"Mahalunge Road, Baner",Genepath,0,0,0,Negative
620,SSBS/S/2022/620,22-03-2022,"Balewadi Phata, Baner",Genepath,0,0,0,Negative
621,SSBS/S/2022/621,22-03-2022,Aundh,Genepath,0,0,0,Negative
622,SSBS/S/2022/622,22-03-2022,"Someshwarwadi, Pashan",Genepath,0,0,0,Negative
623,SSBS/S/2022/623,22-03-2022,"Jai Bhavani Nagar, Pashan",Genepath,0,0,0,Negative
624,SSBS/S/2022/624,22-03-2022,"DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
625,SSBS/S/2022/625,23-03-2022,"Dattawadi, Rajaram Bridge",Genepath,0,0,0,Negative
626,SSBS/S/2022/626,23-03-2022,"Vitthalwadi-Hingne Shantinagar,",Genepath,0,0,0,Negative
627,SSBS/S/2022/627,23-03-2022,"Kasba Peth, Juna Bazaar, Shivajinagar",Genepath,0,0,0,Negative
628,SSBS/S/2022/628,23-03-2022,"Old bund garden, Yerwada",Genepath,0,0,0,Negative
629,SSBS/S/2022/629,23-03-2022,"RTO Office, Alandi road, Yerwada",Genepath,0,0,0,Negative
630,SSBS/S/2022/630,23-03-2022,"Shantinagar, Vishrantwadi",Genepath,0,0,0,Negative
631,SSBS/S/2022/631,24-03-2022,"Aditya Birla Hospital Road, Under bridge",Genepath,0,0,0,Negative
632,SSBS/S/2022/632,24-03-2022,"Shastri Nagar, Pimpri",Genepath,0,0,0,Negative
633,SSBS/S/2022/633,24-03-2022,"Kasarwadi, Pimple gurav road",Genepath,0,0,0,Negative
634,SSBS/S/2022/634,24-03-2022,"60-feet road, Pimple Gurav",Genepath,0,0,0,Negative
635,SSBS/S/2022/635,24-03-2022,Dapodi-Sangvi,Genepath,0,0,0,Negative
636,SSBS/S/2022/636,25-03-2022,"Rahatani, New DP road",Genepath,0,0,0,Negative
637,SSBS/S/2022/637,25-03-2022,"Kalewadi, Adarsh Nagar",Genepath,0,0,0,Negative
638,SSBS/S/2022/638,25-03-2022,"Wolf Colony, Pimpri",Genepath,0,0,0,Negative
639,SSBS/S/2022/639,25-03-2022,"Dapodi, Sai service",Genepath,0,0,0,Negative
640,SSBS/S/2022/640,25-03-2022,Dapodi Harris Bridge,Genepath,0,0,0,Negative
641,SSBS/S/2022/641,28-03-2021,"Bus Depot (main), Kothrud",Genepath,0,0,0,Negative
642,SSBS/S/2022/642,28-03-2021,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",Genepath,0,0,0,Negative
643,SSBS/S/2022/643,28-03-2021,Kothrud Karve road,Genepath,0,0,0,Negative
644,SSBS/S/2022/644,28-03-2021,Kothrud Sanjeevan hospital,Genepath,0,0,0,Negative
645,SSBS/S/2022/645,28-03-2021,"Shivajinagar, Chaturshrungi Nala Catchment",Genepath,0,0,0,Negative
646,SSBS/S/2022/646,28-03-2021,"Shivajinagar, Vaidhwadi Nala catchment",Genepath,0,0,0,Negative
647,SSBS/S/2022/647,29-03-2022,"Someshwarwadi, Pashan",Genepath,0,0,0,Negative
648,SSBS/S/2022/648,29-03-2022,"DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
649,SSBS/S/2022/649,29-03-2022,Aundh,Genepath,0,0,0,Negative
650,SSBS/S/2022/650,29-03-2022,"Balewadi Phata, Baner",Genepath,0,0,0,Negative
651,SSBS/S/2022/651,29-03-2022,"Mahalunge Road, Baner",Genepath,0,0,0,Negative
652,SSBS/S/2022/652,29-03-2022,"Jai Bhavani Nagar, Pashan",Genepath,0,0,0,Negative
653,SSBS/S/2022/653,30-03-2022,"Dattawadi, Rajaram Bridge",Genepath,0,0,0,Negative
654,SSBS/S/2022/654,30-03-2022,"Vitthalwadi-Hingne Shantinagar,",Genepath,0,0,0,Negative
655,SSBS/S/2022/655,30-03-2022,"Kasba Peth, Juna Bazaar, Shivajinagar",Genepath,0,0,0,Negative
656,SSBS/S/2022/656,30-03-2022,"Old bund garden, Yerwada",Genepath,0,0,0,Negative
657,SSBS/S/2022/657,30-03-2022,"RTO Office, Alandi road, Yerwada",Genepath,0,0,0,Negative
658,SSBS/S/2022/658,30-03-2022,"Shantinagar, Vishrantwadi",Genepath,0,0,0,Negative
659,SSBS/S/2022/659,31-03-2022,Dapodi-Sangvi,Genepath,0,0,0,Negative
660,SSBS/S/2022/660,31-03-2022,"60-feet road, Pimple Gurav",Genepath,0,0,0,Negative
661,SSBS/S/2022/661,31-03-2022,"Kasarwadi, Pimple gurav road",Genepath,0,0,0,Negative
662,SSBS/S/2022/662,31-03-2022,"Shastri Nagar, Pimpri",Genepath,0,0,0,Negative
663,SSBS/S/2022/663,31-03-2022,"Aditya Birla Hospital Road, Under bridge",Genepath,0,0,0,Negative
664,SSBS/S/2022/664,1/4/2022,"Rahatani, New DP road",Genepath,0,0,0,Negative
665,SSBS/S/2022/665,1/4/2022,"Kalewadi, Adarsh Nagar",Genepath,0,0,0,Negative
666,SSBS/S/2022/666,1/4/2022,"Wolf Colony, Pimpri",Genepath,0,0,0,Negative
667,SSBS/S/2022/667,1/4/2022,"Dapodi, Sai service",Genepath,0,0,0,Negative
668,SSBS/S/2022/668,1/4/2022,Dapodi Harris Bridge,Genepath,0,0,0,Negative
669,SSBS/S/2022/669,4/4/2022,"Shivajinagar, Vaidhwadi Nala catchment",Genepath,0,0,0,Negative
670,SSBS/S/2022/670,4/4/2022,"Shivajinagar, Chaturshrungi Nala Catchment",Genepath,0,0,0,Negative
671,SSBS/S/2022/671,4/4/2022,Kothrud Sanjeevan hospital,Genepath,0,0,0,Negative
672,SSBS/S/2022/672,4/4/2022,Kothrud Karve road,Genepath,0,0,0,Negative
673,SSBS/S/2022/673,4/4/2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",Genepath,0,0,0,Negative
674,SSBS/S/2022/674,5/4/2022,"Bus Depot (main), Kothrud",Genepath,0,0,0,Negative
675,SSBS/S/2022/675,5/4/2022,"Mahalunge Road, Baner",Genepath,0,0,0,Negative
676,SSBS/S/2022/676,5/4/2022,"Balewadi Phata, Baner",Genepath,0,0,0,Negative
677,SSBS/S/2022/677,5/4/2022,Aundh,Genepath,0,0,0,Negative
678,SSBS/S/2022/678,5/4/2022,"Someshwarwadi, Pashan",Genepath,0,0,0,Negative
679,SSBS/S/2022/679,5/4/2022," DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
0,SSBS/S/2022/680,6/4/2022,"Jai Bhavani Nagar, Pashan",Genepath,0,0,0,Negative
681,SSBS/S/2022/681,6/4/2022,"Dattawadi, Rajaram Bridge",Genepath,0,0,0,Negative
682,SSBS/S/2022/682,6/4/2022,"Vitthalwadi-Hingne Shantinagar,",Genepath,0,0,0,Negative
683,SSBS/S/2022/683,6/4/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",Genepath,0,0,0,Negative
684,SSBS/S/2022/684,6/4/2022,"Old bund garden, Yerwada",Genepath,0,0,0,Negative
685,SSBS/S/2022/685,6/4/2022,"RTO Office, Alandi road, Yerwada",Genepath,0,0,0,Negative
686,SSBS/S/2022/686,7/4/2022,"Shantinagar, Vishrantwadi",Genepath,0,0,0,Negative
687,SSBS/S/2022/687,7/4/2022,"Aditya Birla Hospital Road, Under bridge",Genepath,0,0,0,Negative
688,SSBS/S/2022/688,7/4/2022,"60-feet road, Pimple Gurav",Genepath,0,0,0,Negative
689,SSBS/S/2022/689,7/4/2022,"Kasarwadi, Pimple gurav road",Genepath,0,0,0,Negative
690,SSBS/S/2022/690,7/4/2022,"Shastri Nagar, Pimpri",Genepath,0,0,0,Negative
691,SSBS/S/2022/691,7/4/2022,Dapodi-Sangvi,Genepath,0,0,0,Negative
692,SSBS/S/2022/692,8/4/2022,"Rahatani, New DP road",Genepath,0,0,0,Negative
693,SSBS/S/2022/693,8/4/2022,"Kalewadi, Adarsh Nagar",Genepath,0,0,0,Negative
694,SSBS/S/2022/694,8/4/2022,"Wolf Colony, Pimpri",Genepath,0,0,0,Negative
695,SSBS/S/2022/695,8/4/2022,"Dapodi, Sai service",Genepath,0,0,0,Negative
696,SSBS/S/2022/696,8/4/2022,Dapodi Harris Bridge,Genepath,0,0,0,Negative
697,SSBS/S/2022/697,11/4/2022,"Shivajinagar, Vaidhwadi Nala catchment",Genepath,0,0,0,Negative
698,SSBS/S/2022/698,11/4/2022,"Shivajinagar, Chaturshrungi Nala Catchment",Genepath,0,0,0,Negative
699,SSBS/S/2022/699,11/4/2022,Kothrud Sanjeevan hospital,Genepath,0,0,0,Negative
700,SSBS/S/2022/700,11/4/2022,Kothrud Karve road,Genepath,0,0,0,Negative
701,SSBS/S/2022/701,11/4/2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",Genepath,0,0,0,Negative
702,SSBS/S/2022/702,11/4/2022,"Bus Depot (main), Kothrud",Genepath,0,0,0,Negative
703,SSBS/S/2022/703,12/4/2022,"Jai Bhavani Nagar, Pashan",Genepath,0,0,0,Negative
704,SSBS/S/2022/704,12/4/2022," DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
705,SSBS/S/2022/705,12/4/2022,Aundh,Genepath,0,0,0,Negative
706,SSBS/S/2022/706,12/4/2022,"Someshwarwadi, Pashan",Genepath,0,0,0,Negative
707,SSBS/S/2022/707,12/4/2022,"Balewadi Phata, Baner",Genepath,0,0,0,Negative
708,SSBS/S/2022/708,12/4/2022,"Mahalunge Road, Baner",Genepath,0,0,0,Negative
709,SSBS/S/2022/709,13-04-2022,"Dattawadi, Rajaram Bridge",Genepath,0,0,0,Negative
710,SSBS/S/2022/710,13-04-2022,"Vitthalwadi-Hingne Shantinagar,",Genepath,0,0,0,Negative
711,SSBS/S/2022/711,13-04-2022,"Kasba Peth, Juna Bazaar, Shivajinagar",Genepath,0,0,0,Negative
712,SSBS/S/2022/712,13-04-2022,"Old bund garden, Yerwada",Genepath,0,0,0,Negative
713,SSBS/S/2022/713,13-04-2022,"RTO Office, Alandi road, Yerwada",Genepath,0,0,0,Negative
714,SSBS/S/2022/714,13-04-2022,"Shantinagar, Vishrantwadi",Genepath,0,0,0,Negative
715,SSBS/S/2022/715,15-04-2022,"Rahatani, New DP road",Genepath,0,0,0,Negative
716,SSBS/S/2022/716,15-04-2022,"Kalewadi, Adarsh Nagar",Genepath,0,0,0,Negative
717,SSBS/S/2022/717,15-04-2022,"Wolf Colony, Pimpri",Genepath,0,0,0,Negative
718,SSBS/S/2022/718,15-04-2022,"Dapodi, Sai service",Genepath,0,0,0,Negative
719,SSBS/S/2022/719,15-04-2022,Dapodi Harris Bridge,Genepath,0,0,0,Negative
720,SSBS/S/2022/720,18-04-2022,"Shivajinagar, Vaidhwadi Nala catchment",Genepath,0,0,0,Negative
721,SSBS/S/2022/721,18-04-2022,"Shivajinagar, Chaturshrungi Nala Catchment",Genepath,0,0,0,Negative
722,SSBS/S/2022/722,18-04-2022,Kothrud Sanjeevan hospital,Genepath,0,0,0,Negative
723,SSBS/S/2022/723,18-04-2022,Kothrud Karve road,Genepath,0,0,0,Negative
724,SSBS/S/2022/724,18-04-2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",Genepath,0,0,0,Negative
725,SSBS/S/2022/725,18-04-2022,"Bus Depot (main), Kothrud",Genepath,0,0,0,Negative
726,SSBS/S/2022/726,19-04-2022,"Mahalunge Road, Baner",Genepath,0,0,0,Negative
727,SSBS/S/2022/727,19-04-2022,"Balewadi Phata, Baner",Genepath,0,0,0,Negative
728,SSBS/S/2022/728,19-04-2022,Aundh,Genepath,0,0,0,Negative
729,SSBS/S/2022/729,19-04-2022,"  Someshwarwadi, Pashan",Genepath,0,0,0,Negative
730,SSBS/S/2022/730,19-04-2022,"DP road, Botanical Garden, Aundh,",Genepath,0,0,0,Negative
731,SSBS/S/2022/731,20-04-2022,"Jai Bhavani Nagar, Pashan",Genepath,0,0,0,Negative
732,SSBS/S/2022/732,20-04-2022,"Aditya Birla Hospital Road, Under bridge",Genepath,0,0,0,Negative
733,SSBS/S/2022/733,20-04-2022,"Shastri Nagar, Pimpri",Genepath,0,0,0,Negative
734,SSBS/S/2022/734,20-04-2022,"Kasarwadi, Pimple gurav road",Genepath,0,0,0,Negative
735,SSBS/S/2022/735,20-04-2022,"60-feet road, Pimple Gurav",Genepath,0,0,0,Negative
736,SSBS/S/2022/736,21-04-2022,Dapodi-Sangvi,Genepath,0,0,0,Negative
737,SSBS/S/2022/737,21-04-2022,"Dattawadi, Rajaram Bridge",Genepath,0,0,0,Negative
738,SSBS/S/2022/738,21-04-2022,"Vitthalwadi-Hingne Shantinagar,",Genepath,0,0,0,Negative
739,SSBS/S/2022/739,21-04-2022,"Old bund garden, Yerwada",Genepath,0,0,0,Negative
740,SSBS/S/2022/740,21-04-2022,"Kasba Peth, Juna Bazaar, Shivajinagar",Genepath,0,0,0,Negative
741,SSBS/S/2022/741,21-04-2022,"RTO Office, Alandi road, Yerwada",Genepath,0,0,0,Negative
742,SSBS/S/2022/742,22-04-2022,"Shantinagar, Vishrantwadi",Genepath,0,0,0,Negative
743,SSBS/S/2022/743,22-04-2022,"Rahatani, New DP road",Genepath,0,0,0,Negative
744,SSBS/S/2022/744,22-04-2022,"Kalewadi, Adarsh Nagar",Genepath,0,0,0,Negative
745,SSBS/S/2022/745,22-04-2022,"Wolf Colony, Pimpri",Genepath,0,0,0,Negative
746,SSBS/S/2022/746,22-04-2022,"Dapodi, Sai service",Genepath,0,0,0,Negative
747,SSBS/S/2022/747,22-04-2022,Dapodi Harris Bridge,Genepath,0,0,0,Negative
748,SSBS/S/2022/748,25-04-2022,"Shivajinagar, Vaidhwadi Nala catchment",Genepath,0,0,0,Negative
749,SSBS/S/2022/749,25-04-2022,"Shivajinagar, Chaturshrungi Nala Catchment",Genepath,0,0,0,Negative
750,SSBS/S/2022/750,25-04-2022,Kothrud Sanjeevan hospital,Genepath,0,0,0,Negative
751,SSBS/S/2022/751,25-04-2022,Kothrud Karve road,Genepath,0,0,0,Negative
752,SSBS/S/2022/752,25-04-2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",Genepath,0,0,0,Negative
753,SSBS/S/2022/753,25-04-2022,"Bus Depot (main), Kothrud",Genepath,0,0,0,Negative
754,SSBS/S/2022/754,26-04-2022,"Mahalunge Road, Baner",Genepath,0,0,0,Negative
755,SSBS/S/2022/755,26-04-2022,"Balewadi Phata, Baner",Genepath,0,0,0,Negative
756,SSBS/S/2022/756,26-04-2022,Aundh,Genepath,0,0,0,Negative
757,SSBS/S/2022/757,26-04-2022,"  Someshwarwadi, Pashan",Genepath,0,0,0,Negative
758,SSBS/S/2022/758,26-04-2022,"DP road, Botanical Garden, Aundh,",Genepath,0,0,0,Negative
759,SSBS/S/2022/759,26-04-2022,"Jai Bhavani Nagar, Pashan",Genepath,0,0,0,Negative
760,SSBS/S/2022/760,27-04-2022,"Shantinagar, Vishrantwadi",Genepath,0,0,0,Negative
761,SSBS/S/2022/761,27-04-2022,"RTO Office, Alandi road, Yerwada",Genepath,0,0,0,Negative
