Sr. No,Date,Location,CtN,CtE,CtRdRp,PCR Result
628.0,23-03-2022,"Old bund garden, Yerwada",0.0,0.0,0.0,Negative
629.0,23-03-2022,"RTO Office, Alandi road, Yerwada",0.0,0.0,0.0,Negative
630.0,23-03-2022,"Shantinagar, Vishrantwadi",0.0,0.0,0.0,Negative
631.0,24-03-2022,"Aditya Birla Hospital Road, Under bridge",0.0,0.0,0.0,Negative
632.0,24-03-2022,"Shastri Nagar, Pimpri",0.0,0.0,0.0,Negative
633.0,24-03-2022,"Kasarwadi, Pimple gurav road",0.0,0.0,0.0,Negative
634.0,24-03-2022,"60-feet road, Pimple Gurav",0.0,0.0,0.0,Negative
635.0,24-03-2022,Dapodi-Sangvi,0.0,0.0,0.0,Negative
636.0,25-03-2022,"Rahatani, New DP road",0.0,0.0,0.0,Negative
637.0,25-03-2022,"Kalewadi, Adarsh Nagar",0.0,0.0,0.0,Negative
638.0,25-03-2022,"Wolf Colony, Pimpri",0.0,0.0,0.0,Negative
639.0,25-03-2022,"Dapodi, Sai service",0.0,0.0,0.0,Negative
640.0,25-03-2022,Dapodi Harris Bridge,0.0,0.0,0.0,Negative
641.0,28-03-2021,"Bus Depot (main), Kothrud",0.0,0.0,0.0,Negative
642.0,28-03-2021,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",0.0,0.0,0.0,Negative
643.0,28-03-2021,Kothrud Karve road,0.0,0.0,0.0,Negative
644.0,28-03-2021,Kothrud Sanjeevan hospital,0.0,0.0,0.0,Negative
645.0,28-03-2021,"Shivajinagar, Chaturshrungi Nala Catchment",0.0,0.0,0.0,Negative
646.0,28-03-2021,"Shivajinagar, Vaidhwadi Nala catchment",0.0,0.0,0.0,Negative
647.0,29-03-2022,"Someshwarwadi, Pashan",0.0,0.0,0.0,Negative
648.0,29-03-2022,"DP road, Botanical Garden, Aundh",0.0,0.0,0.0,Negative
649.0,29-03-2022,Aundh,0.0,0.0,0.0,Negative
650.0,29-03-2022,"Balewadi Phata, Baner",0.0,0.0,0.0,Negative
651.0,29-03-2022,"Mahalunge Road, Baner",0.0,0.0,0.0,Negative
652.0,29-03-2022,"Jai Bhavani Nagar, Pashan",0.0,0.0,0.0,Negative
653.0,30-03-2022,"Dattawadi, Rajaram Bridge",0.0,0.0,0.0,Negative
654.0,30-03-2022,"Vitthalwadi-Hingne Shantinagar,",0.0,0.0,0.0,Negative
655.0,30-03-2022,"Kasba Peth, Juna Bazaar, Shivajinagar",0.0,0.0,0.0,Negative
656.0,30-03-2022,"Old bund garden, Yerwada",0.0,0.0,0.0,Negative
657.0,30-03-2022,"RTO Office, Alandi road, Yerwada",0.0,0.0,0.0,Negative
658.0,30-03-2022,"Shantinagar, Vishrantwadi",0.0,0.0,0.0,Negative
659.0,31-03-2022,Dapodi-Sangvi,0.0,0.0,0.0,Negative
660.0,31-03-2022,"60-feet road, Pimple Gurav",0.0,0.0,0.0,Negative
661.0,31-03-2022,"Kasarwadi, Pimple gurav road",0.0,0.0,0.0,Negative
662.0,31-03-2022,"Shastri Nagar, Pimpri",0.0,0.0,0.0,Negative
663.0,31-03-2022,"Aditya Birla Hospital Road, Under bridge",0.0,0.0,0.0,Negative
664.0,1/4/2022,"Rahatani, New DP road",0.0,0.0,0.0,Negative
665.0,1/4/2022,"Kalewadi, Adarsh Nagar",0.0,0.0,0.0,Negative
666.0,1/4/2022,"Wolf Colony, Pimpri",0.0,0.0,0.0,Negative
667.0,1/4/2022,"Dapodi, Sai service",0.0,0.0,0.0,Negative
668.0,1/4/2022,Dapodi Harris Bridge,0.0,0.0,0.0,Negative
669.0,4/4/2022,"Shivajinagar, Vaidhwadi Nala catchment",0.0,0.0,0.0,Negative
670.0,4/4/2022,"Shivajinagar, Chaturshrungi Nala Catchment",0.0,0.0,0.0,Negative
671.0,4/4/2022,Kothrud Sanjeevan hospital,0.0,0.0,0.0,Negative
672.0,4/4/2022,Kothrud Karve road,0.0,0.0,0.0,Negative
673.0,4/4/2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",0.0,0.0,0.0,Negative
674.0,5/4/2022,"Bus Depot (main), Kothrud",0.0,0.0,0.0,Negative
675.0,5/4/2022,"Mahalunge Road, Baner",0.0,0.0,0.0,Negative
676.0,5/4/2022,"Balewadi Phata, Baner",0.0,0.0,0.0,Negative
677.0,5/4/2022,Aundh,0.0,0.0,0.0,Negative
678.0,5/4/2022,"Someshwarwadi, Pashan",0.0,0.0,0.0,Negative
679.0,5/4/2022," DP road, Botanical Garden, Aundh",0.0,0.0,0.0,Negative
0.0,6/4/2022,"Jai Bhavani Nagar, Pashan",0.0,0.0,0.0,Negative
681.0,6/4/2022,"Dattawadi, Rajaram Bridge",0.0,0.0,0.0,Negative
682.0,6/4/2022,"Vitthalwadi-Hingne Shantinagar,",0.0,0.0,0.0,Negative
683.0,6/4/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",0.0,0.0,0.0,Negative
684.0,6/4/2022,"Old bund garden, Yerwada",0.0,0.0,0.0,Negative
685.0,6/4/2022,"RTO Office, Alandi road, Yerwada",0.0,0.0,0.0,Negative
686.0,7/4/2022,"Shantinagar, Vishrantwadi",0.0,0.0,0.0,Negative
687.0,7/4/2022,"Aditya Birla Hospital Road, Under bridge",0.0,0.0,0.0,Negative
688.0,7/4/2022,"60-feet road, Pimple Gurav",0.0,0.0,0.0,Negative
689.0,7/4/2022,"Kasarwadi, Pimple gurav road",0.0,0.0,0.0,Negative
690.0,7/4/2022,"Shastri Nagar, Pimpri",0.0,0.0,0.0,Negative
691.0,7/4/2022,Dapodi-Sangvi,0.0,0.0,0.0,Negative
692.0,8/4/2022,"Rahatani, New DP road",0.0,0.0,0.0,Negative
693.0,8/4/2022,"Kalewadi, Adarsh Nagar",0.0,0.0,0.0,Negative
694.0,8/4/2022,"Wolf Colony, Pimpri",0.0,0.0,0.0,Negative
695.0,8/4/2022,"Dapodi, Sai service",0.0,0.0,0.0,Negative
696.0,8/4/2022,Dapodi Harris Bridge,0.0,0.0,0.0,Negative
697.0,11/4/2022,"Shivajinagar, Vaidhwadi Nala catchment",0.0,0.0,0.0,Negative
698.0,11/4/2022,"Shivajinagar, Chaturshrungi Nala Catchment",0.0,0.0,0.0,Negative
699.0,11/4/2022,Kothrud Sanjeevan hospital,0.0,0.0,0.0,Negative
700.0,11/4/2022,Kothrud Karve road,0.0,0.0,0.0,Negative
701.0,11/4/2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",0.0,0.0,0.0,Negative
702.0,11/4/2022,"Bus Depot (main), Kothrud",0.0,0.0,0.0,Negative
703.0,12/4/2022,"Jai Bhavani Nagar, Pashan",0.0,0.0,0.0,Negative
704.0,12/4/2022," DP road, Botanical Garden, Aundh",0.0,0.0,0.0,Negative
705.0,12/4/2022,Aundh,0.0,0.0,0.0,Negative
706.0,12/4/2022,"Someshwarwadi, Pashan",0.0,0.0,0.0,Negative
707.0,12/4/2022,"Balewadi Phata, Baner",0.0,0.0,0.0,Negative
708.0,12/4/2022,"Mahalunge Road, Baner",0.0,0.0,0.0,Negative
709.0,13-04-2022,"Dattawadi, Rajaram Bridge",0.0,0.0,0.0,Negative
710.0,13-04-2022,"Vitthalwadi-Hingne Shantinagar,",0.0,0.0,0.0,Negative
711.0,13-04-2022,"Kasba Peth, Juna Bazaar, Shivajinagar",0.0,0.0,0.0,Negative
712.0,13-04-2022,"Old bund garden, Yerwada",0.0,0.0,0.0,Negative
713.0,13-04-2022,"RTO Office, Alandi road, Yerwada",0.0,0.0,0.0,Negative
714.0,13-04-2022,"Shantinagar, Vishrantwadi",0.0,0.0,0.0,Negative
715.0,15-04-2022,"Rahatani, New DP road",0.0,0.0,0.0,Negative
716.0,15-04-2022,"Kalewadi, Adarsh Nagar",0.0,0.0,0.0,Negative
717.0,15-04-2022,"Wolf Colony, Pimpri",0.0,0.0,0.0,Negative
718.0,15-04-2022,"Dapodi, Sai service",0.0,0.0,0.0,Negative
719.0,15-04-2022,Dapodi Harris Bridge,0.0,0.0,0.0,Negative
720.0,18-04-2022,"Shivajinagar, Vaidhwadi Nala catchment",0.0,0.0,0.0,Negative
721.0,18-04-2022,"Shivajinagar, Chaturshrungi Nala Catchment",0.0,0.0,0.0,Negative
722.0,18-04-2022,Kothrud Sanjeevan hospital,0.0,0.0,0.0,Negative
723.0,18-04-2022,Kothrud Karve road,0.0,0.0,0.0,Negative
724.0,18-04-2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",0.0,0.0,0.0,Negative
725.0,18-04-2022,"Bus Depot (main), Kothrud",0.0,0.0,0.0,Negative
726.0,19-04-2022,"Mahalunge Road, Baner",0.0,0.0,0.0,Negative
727.0,19-04-2022,"Balewadi Phata, Baner",0.0,0.0,0.0,Negative
728.0,19-04-2022,Aundh,0.0,0.0,0.0,Negative
729.0,19-04-2022,"  Someshwarwadi, Pashan",0.0,0.0,0.0,Negative
730.0,19-04-2022,"DP road, Botanical Garden, Aundh,",0.0,0.0,0.0,Negative
731.0,20-04-2022,"Jai Bhavani Nagar, Pashan",0.0,0.0,0.0,Negative
732.0,20-04-2022,"Aditya Birla Hospital Road, Under bridge",0.0,0.0,0.0,Negative
733.0,20-04-2022,"Shastri Nagar, Pimpri",0.0,0.0,0.0,Negative
734.0,20-04-2022,"Kasarwadi, Pimple gurav road",0.0,0.0,0.0,Negative
735.0,20-04-2022,"60-feet road, Pimple Gurav",0.0,0.0,0.0,Negative
736.0,21-04-2022,Dapodi-Sangvi,0.0,0.0,0.0,Negative
737.0,21-04-2022,"Dattawadi, Rajaram Bridge",0.0,0.0,0.0,Negative
738.0,21-04-2022,"Vitthalwadi-Hingne Shantinagar,",0.0,0.0,0.0,Negative
739.0,21-04-2022,"Old bund garden, Yerwada",0.0,0.0,0.0,Negative
740.0,21-04-2022,"Kasba Peth, Juna Bazaar, Shivajinagar",0.0,0.0,0.0,Negative
741.0,21-04-2022,"RTO Office, Alandi road, Yerwada",0.0,0.0,0.0,Negative
742.0,22-04-2022,"Shantinagar, Vishrantwadi",0.0,0.0,0.0,Negative
743.0,22-04-2022,"Rahatani, New DP road",0.0,0.0,0.0,Negative
744.0,22-04-2022,"Kalewadi, Adarsh Nagar",0.0,0.0,0.0,Negative
745.0,22-04-2022,"Wolf Colony, Pimpri",0.0,0.0,0.0,Negative
746.0,22-04-2022,"Dapodi, Sai service",0.0,0.0,0.0,Negative
747.0,22-04-2022,Dapodi Harris Bridge,0.0,0.0,0.0,Negative
748.0,25-04-2022,"Shivajinagar, Vaidhwadi Nala catchment",0.0,0.0,0.0,Negative
749.0,25-04-2022,"Shivajinagar, Chaturshrungi Nala Catchment",0.0,0.0,0.0,Negative
750.0,25-04-2022,Kothrud Sanjeevan hospital,0.0,0.0,0.0,Negative
751.0,25-04-2022,Kothrud Karve road,0.0,0.0,0.0,Negative
752.0,25-04-2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",0.0,0.0,0.0,Negative
753.0,25-04-2022,"Bus Depot (main), Kothrud",0.0,0.0,0.0,Negative
754.0,26-04-2022,"Mahalunge Road, Baner",0.0,0.0,0.0,Negative
755.0,26-04-2022,"Balewadi Phata, Baner",0.0,0.0,0.0,Negative
756.0,26-04-2022,Aundh,0.0,0.0,0.0,Negative
757.0,26-04-2022,"  Someshwarwadi, Pashan",0.0,0.0,0.0,Negative
758.0,26-04-2022,"DP road, Botanical Garden, Aundh,",0.0,0.0,0.0,Negative
759.0,26-04-2022,"Jai Bhavani Nagar, Pashan",0.0,0.0,0.0,Negative
760.0,27-04-2022,"Shantinagar, Vishrantwadi",0.0,0.0,0.0,Negative
761.0,27-04-2022,"RTO Office, Alandi road, Yerwada",0.0,0.0,0.0,Negative
762.0,27-04-2022,"Old bund garden, Yerwada",0.0,0.0,0.0,Negative
763.0,27-04-2022,"Kasba Peth, Juna Bazaar, Shivajinagar",0.0,0.0,0.0,Negative
764.0,27-04-2022,"Dattawadi, Rajaram Bridge",0.0,0.0,0.0,Negative
765.0,27-04-2022,"Vitthalwadi-Hingne Shantinagar,",0.0,0.0,0.0,Negative
766.0,28-04-2022,"Aditya Birla Hospital Road, Under bridge",0.0,0.0,0.0,Negative
767.0,28-04-2022,"Shastri Nagar, Pimpri",0.0,0.0,0.0,Negative
768.0,28-04-2022,"Kasarwadi, Pimple gurav road",0.0,0.0,0.0,Negative
769.0,28-04-2022,"60-feet road, Pimple Gurav",0.0,0.0,0.0,Negative
770.0,28-04-2022,Dapodi-Sangvi,0.0,0.0,0.0,Negative
771.0,29-04-2022,Dapodi Harris Bridge,0.0,0.0,0.0,Negative
772.0,29-04-2022,"Dapodi, Sai service",0.0,0.0,0.0,Negative
773.0,29-04-2022,"Wolf Colony, Pimpri",0.0,0.0,0.0,Negative
774.0,29-04-2022,"Kalewadi, Adarsh Nagar",0.0,0.0,0.0,Negative
775.0,29-04-2022,"Rahatani, New DP road",0.0,0.0,0.0,Negative
776.0,2/5/2022,"Shivajinagar, Vaidhwadi Nala catchment",0.0,0.0,0.0,Negative
777.0,2/5/2022,"Shivajinagar, Chaturshrungi Nala Catchment",0.0,0.0,0.0,Negative
778.0,2/5/2022,Kothrud Sanjeevan hospital,0.0,0.0,0.0,Negative
779.0,2/5/2022,Kothrud Karve road,0.0,0.0,0.0,Negative
780.0,2/5/2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",0.0,0.0,0.0,Negative
781.0,2/5/2022,"Bus Depot (main), Kothrud",0.0,0.0,0.0,Negative
782.0,4/5/2022,"Mahalunge Road, Baner",0.0,0.0,0.0,Negative
783.0,4/5/2022,"Balewadi Phata, Baner",0.0,0.0,0.0,Positive
784.0,4/5/2022,Aundh,0.0,0.0,0.0,Negative
785.0,4/5/2022,"  Someshwarwadi, Pashan",0.0,0.0,0.0,Negative
786.0,4/5/2022," Jai Bhavani Nagar, Pashan",0.0,0.0,0.0,Negative
787.0,4/5/2022,"DP road, Botanical Garden, Aundh",0.0,0.0,0.0,Negative
788.0,5/5/2022,"Aditya Birla Hospital Road, Under bridge",0.0,0.0,0.0,Negative
789.0,5/5/2022,"Shastri Nagar, Pimpri",0.0,0.0,0.0,Negative
790.0,5/5/2022,"Kasarwadi, Pimple gurav road",0.0,0.0,0.0,Negative
791.0,5/5/2022,"60-feet road, Pimple Gurav",0.0,0.0,0.0,Negative
792.0,5/5/2022,Dapodi-Sangvi,0.0,0.0,0.0,Negative
793.0,6/5/2022,Dapodi Harris Bridge,0.0,0.0,0.0,Negative
794.0,6/5/2022,"Dapodi, Sai service",0.0,0.0,0.0,Negative
795.0,6/5/2022,"Wolf Colony, Pimpri",33.7,36.8,34.1,Positive
796.0,6/5/2022,"Kalewadi, Adarsh Nagar",0.0,0.0,0.0,Negative
797.0,6/5/2022,"Rahatani, New DP road",0.0,0.0,0.0,Negative
798.0,9/5/2022,"Shivajinagar, Vaidhwadi Nala catchment",0.0,0.0,0.0,Negative
799.0,9/5/2022,"Shivajinagar, Chaturshrungi Nala Catchment",0.0,0.0,0.0,Negative
800.0,9/5/2022,Kothrud Sanjeevan hospital,0.0,0.0,0.0,Negative
801.0,9/5/2022,Kothrud Karve road,0.0,0.0,0.0,Negative
802.0,9/5/2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",0.0,0.0,0.0,Negative
803.0,9/5/2022,"Bus Depot (main), Kothrud",0.0,0.0,0.0,Negative
804.0,10/5/2022,"Mahalunge Road, Baner",0.0,0.0,0.0,Negative
805.0,10/5/2022,"Balewadi Phata, Baner",0.0,0.0,0.0,Negative
806.0,10/5/2022,Aundh,0.0,0.0,0.0,Negative
807.0,10/5/2022,"  Someshwarwadi, Pashan",0.0,0.0,0.0,Negative
808.0,10/5/2022," Jai Bhavani Nagar, Pashan",0.0,0.0,0.0,Negative
809.0,10/5/2022,"DP road, Botanical Garden, Aundh,",0.0,0.0,0.0,Negative
810.0,11/5/2022,"Dattawadi, Rajaram Bridge",0.0,0.0,0.0,Negative
811.0,11/5/2022,"Vitthalwadi-Hingne Shantinagar,",0.0,0.0,0.0,Negative
812.0,11/5/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",0.0,0.0,0.0,Negative
813.0,11/5/2022,"Old bund garden, Yerwada",0.0,0.0,0.0,Negative
814.0,11/5/2022,"RTO Office, Alandi road, Yerwada",0.0,0.0,0.0,Negative
815.0,11/5/2022,"Shantinagar, Vishrantwadi",0.0,0.0,0.0,Positive
816.0,12/5/2022,Dapodi-Sangvi,0.0,0.0,0.0,Negative
817.0,12/5/2022,"60-feet road, Pimple Gurav",0.0,0.0,0.0,Negative
818.0,12/5/2022,"Kasarwadi, Pimple gurav road",0.0,0.0,0.0,Negative
819.0,12/5/2022,"Shastri Nagar, Pimpri",0.0,0.0,0.0,Negative
820.0,12/5/2022,"Aditya Birla Hospital Road, Under bridge",0.0,0.0,0.0,Negative
821.0,13-05-2022,"Rahatani, New DP road",0.0,0.0,0.0,Negative
822.0,13-05-2022,"Kalewadi, Adarsh Nagar",0.0,0.0,0.0,Negative
823.0,13-05-2022,"Wolf Colony, Pimpri",0.0,0.0,0.0,Negative
824.0,13-05-2022,"Dapodi, Sai service",0.0,0.0,0.0,Negative
825.0,13-05-2022,Dapodi Harris Bridge,0.0,0.0,0.0,Negative
826.0,16-05-2022,"Shivajinagar, Vaidhwadi Nala catchment",0.0,0.0,0.0,Negative
827.0,16-05-2022,"Shivajinagar, Chaturshrungi Nala Catchment",0.0,0.0,0.0,Negative
828.0,16-05-2022,Kothrud Sanjeevan hospital,0.0,0.0,0.0,Negative
829.0,16-05-2022,Kothrud Karve road,0.0,0.0,0.0,Negative
830.0,16-05-2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",0.0,0.0,0.0,Negative
831.0,16-05-2022,"Bus Depot (main), Kothrud",0.0,0.0,0.0,Negative
832.0,17-05-2022,"Mahalunge Road, Baner",0.0,0.0,0.0,Negative
833.0,17-05-2022,"Balewadi Phata, Baner",0.0,0.0,0.0,Negative
834.0,17-05-2022,Aundh,0.0,0.0,0.0,Negative
835.0,17-05-2022,"  Someshwarwadi, Pashan",0.0,0.0,0.0,Negative
836.0,17-05-2022," Jai Bhavani Nagar, Pashan",0.0,0.0,0.0,Negative
837.0,17-05-2022,"DP road, Botanical Garden, Aundh,",0.0,0.0,0.0,Negative
838.0,18-05-2022,"Dattawadi, Rajaram Bridge",0.0,0.0,0.0,Negative
839.0,18-05-2022,"Vitthalwadi-Hingne Shantinagar,",0.0,0.0,0.0,Negative
840.0,18-05-2022,"Kasba Peth, Juna Bazaar, Shivajinagar",0.0,0.0,0.0,Negative
841.0,18-05-2022,"Old bund garden, Yerwada",0.0,0.0,0.0,Negative
842.0,18-05-2022,"RTO Office, Alandi road, Yerwada",0.0,0.0,0.0,Negative
843.0,18-05-2022,"Shantinagar, Vishrantwadi",0.0,0.0,0.0,Negative
844.0,19-05-2022,Dapodi-Sangvi,0.0,0.0,0.0,Negative
845.0,19-05-2022,"60-feet road, Pimple Gurav",0.0,0.0,0.0,Negative
846.0,19-05-2022,"Kasarwadi, Pimple gurav road",0.0,0.0,0.0,Negative
847.0,19-05-2022,"Shastri Nagar, Pimpri",0.0,0.0,0.0,Negative
848.0,19-05-2022,"Aditya Birla Hospital Road, Under bridge",0.0,0.0,0.0,Negative
849.0,20-05-2022,"Rahatani, New DP road",0.0,0.0,0.0,Negative
850.0,20-05-2022,"Kalewadi, Adarsh Nagar",0.0,0.0,0.0,Negative
851.0,20-05-2022,"Wolf Colony, Pimpri",0.0,0.0,0.0,Negative
852.0,20-05-2022,"Dapodi, Sai service",0.0,0.0,0.0,Negative
853.0,20-05-2022,Dapodi Harris Bridge,0.0,0.0,0.0,Negative
854.0,23-05-2022,"Shivajinagar, Vaidhwadi Nala catchment",0.0,0.0,0.0,Negative
855.0,23-05-2022,"Shivajinagar, Chaturshrungi Nala Catchment",0.0,0.0,0.0,Negative
856.0,23-05-2022,Kothrud Sanjeevan hospital,0.0,0.0,0.0,Negative
857.0,23-05-2022,Kothrud Karve road,0.0,0.0,0.0,Negative
858.0,23-05-2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",0.0,0.0,0.0,Negative
859.0,23-05-2022,"Bus Depot (main), Kothrud",0.0,0.0,0.0,Negative
860.0,24-05-2022,"Mahalunge Road, Baner",0.0,0.0,0.0,Negative
861.0,24-05-2022,"Balewadi Phata, Baner",33.0,35.0,34.0,Positive
862.0,24-05-2022,Aundh,0.0,0.0,0.0,Negative
863.0,24-05-2022,"Jai Bhavani Nagar, Pashan",0.0,0.0,0.0,Negative
864.0,24-05-2022,"  Someshwarwadi, Pashan",0.0,0.0,0.0,Negative
865.0,24-05-2022,"DP road, Botanical Garden, Aundh,",0.0,0.0,0.0,Negative
866.0,25-05-2022,"Dattawadi, Rajaram Bridge",0.0,0.0,0.0,Negative
867.0,25-05-2022,"Vitthalwadi-Hingne Shantinagar,",0.0,0.0,0.0,Negative
868.0,25-05-2022,"Kasba Peth, Juna Bazaar, Shivajinagar",0.0,0.0,0.0,Negative
869.0,25-05-2022,"Old bund garden, Yerwada",0.0,0.0,0.0,Negative
870.0,25-05-2022,"RTO Office, Alandi road, Yerwada",0.0,0.0,0.0,Negative
871.0,25-05-2022,"Shantinagar, Vishrantwadi",0.0,0.0,0.0,Negative
872.0,26-05-2022,"Aditya Birla Hospital Road, Under bridge",0.0,0.0,0.0,Negative
873.0,26-05-2022,"Shastri Nagar, Pimpri",0.0,0.0,0.0,Negative
874.0,26-05-2022,"Kasarwadi, Pimple gurav road",0.0,0.0,0.0,Negative
875.0,26-05-2022,"60-feet road, Pimple Gurav",0.0,0.0,0.0,Negative
876.0,26-05-2022,Dapodi-Sangvi,0.0,34.68,33.63,Positive
877.0,27-05-2022,"Rahatani, New DP road",0.0,0.0,0.0,Negative
878.0,27-05-2022,"Kalewadi, Adarsh Nagar",0.0,0.0,0.0,Negative
879.0,27-05-2022,"Wolf Colony, Pimpri",0.0,0.0,0.0,Negative
880.0,27-05-2022,"Dapodi, Sai service",0.0,0.0,0.0,Negative
881.0,27-05-2022,Dapodi Harris Bridge,0.0,0.0,0.0,Negative
882.0,30-05-2022,"Shivajinagar, Vaidhwadi Nala catchment",0.0,0.0,0.0,Negative
883.0,30-05-2022,"Shivajinagar, Chaturshrungi Nala Catchment",0.0,0.0,0.0,Negative
884.0,30-05-2022,Kothrud Sanjeevan hospital,0.0,0.0,0.0,Negative
885.0,30-05-2022,Kothrud Karve road,0.0,0.0,0.0,Negative
886.0,30-05-2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",0.0,0.0,0.0,Negative
887.0,30-05-2022,"Bus Depot (main), Kothrud",34.79,34.1,0.0,Positive
888.0,31-05-2022,"Mahalunge Road, Baner",0.0,0.0,0.0,Negative
889.0,31-05-2022,"Balewadi Phata, Baner",34.6,34.01,0.0,Positive
890.0,31-05-2022,Aundh,0.0,0.0,0.0,Negative
891.0,31-05-2022,"  Someshwarwadi, Pashan",0.0,0.0,0.0,Negative
892.0,31-05-2022," Jai Bhavani Nagar, Pashan",0.0,0.0,0.0,Negative
893.0,31-05-2022,"DP road, Botanical Garden, Aundh,",34.67,34.34,0.0,Positive
894.0,1/6/2022,"Dattawadi, Rajaram Bridge",0.0,0.0,0.0,Negative
895.0,1/6/2022,"Vitthalwadi-Hingne Shantinagar,",0.0,0.0,0.0,Negative
896.0,1/6/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",0.0,0.0,0.0,Negative
897.0,1/6/2022,"RTO Office, Alandi road, Yerwada",0.0,0.0,0.0,Negative
898.0,1/6/2022,"Shantinagar, Vishrantwadi",35.01,32.56,34.26,Positive
899.0,2/6/2022,"Aditya Birla Hospital Road, Under bridge",0.0,0.0,0.0,Negative
900.0,2/6/2022,"Shastri Nagar, Pimpri",0.0,0.0,0.0,Negative
901.0,2/6/2022,"Kasarwadi, Pimple gurav road",0.0,0.0,0.0,Negative
902.0,2/6/2022,"60-feet road, Pimple Gurav",0.0,0.0,0.0,Negative
903.0,2/6/2022,Dapodi-Sangvi,0.0,0.0,0.0,Negative
904.0,3/6/2022,"Rahatani, New DP road",0.0,0.0,0.0,Negative
905.0,3/6/2022,"Kalewadi, Adarsh Nagar",0.0,0.0,0.0,Negative
906.0,3/6/2022,"Wolf Colony, Pimpri",0.0,0.0,0.0,Negative
907.0,3/6/2022,"Dapodi, Sai service",0.0,0.0,0.0,Negative
908.0,3/6/2022,Dapodi Harris Bridge,0.0,0.0,0.0,Negative
909.0,6/6/2022,"Shivajinagar, Vaidhwadi Nala catchment",0.0,0.0,0.0,Negative
910.0,6/6/2022,"Shivajinagar, Chaturshrungi Nala Catchment",0.0,0.0,0.0,Negative
911.0,6/6/2022,Kothrud Sanjeevan hospital,0.0,0.0,0.0,Negative
912.0,6/6/2022,Kothrud Karve road,0.0,0.0,0.0,Negative
913.0,6/6/2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",6920.0,34.0,33.0,34
914.0,6/6/2022,"Bus Depot (main), Kothrud",0.0,0.0,0.0,Negative
915.0,7/6/2022,"Mahalunge Road, Baner",0.0,0.0,0.0,Negative
916.0,7/6/2022,"Balewadi Phata, Baner",21100.0,32.0,31.0,33
917.0,7/6/2022,Aundh,0.0,0.0,0.0,Negative
918.0,7/6/2022,"  Someshwarwadi, Pashan",0.0,0.0,0.0,Negative
919.0,7/6/2022," Jai Bhavani Nagar, Pashan",0.0,0.0,0.0,Negative
920.0,7/6/2022,"DP road, Botanical Garden, Aundh,",0.0,0.0,0.0,Negative
921.0,8/6/2022,"Dattawadi, Rajaram Bridge",33.0,32.0,34.0,Positive
922.0,8/6/2022,"Vitthalwadi-Hingne Shantinagar,",0.0,0.0,0.0,Negative
923.0,8/6/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",0.0,0.0,0.0,Negative
924.0,8/6/2022,"RTO Office, Alandi road, Yerwada",0.0,0.0,0.0,Negative
925.0,8/6/2022,"Shantinagar, Vishrantwadi",34.0,32.0,33.0,Positive
926.0,9/6/2022,Dapodi-Sangvi,0.0,0.0,0.0,Negative
927.0,9/6/2022,"60-feet road, Pimple Gurav",0.0,0.0,0.0,Negative
928.0,9/6/2022,"Kasarwadi, Pimple gurav road",0.0,0.0,0.0,Negative
929.0,9/6/2022,"Shastri Nagar, Pimpri",0.0,0.0,0.0,Negative
930.0,9/6/2022,"Aditya Birla Hospital Road, Under bridge",0.0,0.0,0.0,Negative
931.0,10/6/2022,Dapodi Harris Bridge,0.0,0.0,0.0,Negative
932.0,10/6/2022,"Dapodi, Sai service",0.0,0.0,0.0,Negative
933.0,10/6/2022,"Wolf Colony, Pimpri",37.0,33.0,34.0,Positive
934.0,10/6/2022,"Kalewadi, Adarsh Nagar",0.0,0.0,0.0,Negative
935.0,10/6/2022,"Rahatani, New DP road",31.0,35.0,35.0,Positive
936.0,13-06-2022,"Shivajinagar, Vaidhwadi Nala catchment",30.0,36.0,35.0,Positive
937.0,13-06-2022,"Shivajinagar, Chaturshrungi Nala Catchment",32.0,38.0,35.0,Positive
938.0,13-06-2022,Kothrud Sanjeevan hospital,0.0,0.0,0.0,Positive
939.0,13-06-2022,Kothrud Karve road,0.0,0.0,0.0,Negative
940.0,13-06-2022,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",35.0,35.0,34.0,Positive
941.0,13-06-2022,"Bus Depot (main), Kothrud",30.0,34.0,33.0,Positive
942.0,14-06-2022,"Mahalunge Road, Baner",0.0,0.0,0.0,Negative
943.0,14-06-2022,"Balewadi Phata, Baner",31.0,34.0,34.0,Positive
944.0,14-06-2022,Aundh,0.0,0.0,0.0,Negative
945.0,14-06-2022,"  Someshwarwadi, Pashan",0.0,0.0,0.0,Negative
