Sr. No,Date,Location,CtN,CtE,CtRdRp,PCR_Result
734,20/04/2022,"Kasarwadi, Pimple gurav road",0,0,0,Negative
735,20/04/2022,"60/feet road, Pimple Gurav",0,0,0,Negative
736,21/04/2022,Dapodi/Sangvi,0,0,0,Negative
737,21/04/2022,"Dattawadi, Rajaram Bridge",0,0,0,Negative
738,21/04/2022,"Vitthalwadi/Hingne Shantinagar,",0,0,0,Negative
739,21/04/2022,"Old bund garden, Yerwada",0,0,0,Negative
740,21/04/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",0,0,0,Negative
741,21/04/2022,"RTO Office, Alandi road, Yerwada",0,0,0,Negative
742,22/04/2022,"Shantinagar, Vishrantwadi",0,0,0,Negative
743,22/04/2022,"Rahatani, New DP road",0,0,0,Negative
744,22/04/2022,"Kalewadi, Adarsh Nagar",0,0,0,Negative
745,22/04/2022,"Wolf Colony, Pimpri",0,0,0,Negative
746,22/04/2022,"Dapodi, Sai service",0,0,0,Negative
747,22/04/2022,Dapodi Harris Bridge,0,0,0,Negative
748,25/04/2022,"Shivajinagar, Vaidhwadi Nala catchment",0,0,0,Negative
749,25/04/2022,"Shivajinagar, Chaturshrungi Nala Catchment",0,0,0,Negative
750,25/04/2022,Kothrud Sanjeevan hospital,0,0,0,Negative
751,25/04/2022,Kothrud Karve road,0,0,0,Negative
752,25/04/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",0,0,0,Negative
753,25/04/2022,"Bus Depot (main), Kothrud",0,0,0,Negative
754,26/04/2022,"Mahalunge Road, Baner",0,0,0,Negative
755,26/04/2022,"Balewadi Phata, Baner",0,0,0,Negative
756,26/04/2022,Aundh,0,0,0,Negative
757,26/04/2022,"  Someshwarwadi, Pashan",0,0,0,Negative
758,26/04/2022,"DP road, Botanical Garden, Aundh,",0,0,0,Negative
759,26/04/2022,"Jai Bhavani Nagar, Pashan",0,0,0,Negative
760,27/04/2022,"Shantinagar, Vishrantwadi",0,0,0,Negative
761,27/04/2022,"RTO Office, Alandi road, Yerwada",0,0,0,Negative
762,27/04/2022,"Old bund garden, Yerwada",0,0,0,Negative
763,27/04/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",0,0,0,Negative
764,27/04/2022,"Dattawadi, Rajaram Bridge",0,0,0,Negative
765,27/04/2022,"Vitthalwadi/Hingne Shantinagar,",0,0,0,Negative
766,28/04/2022,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
767,28/04/2022,"Shastri Nagar, Pimpri",0,0,0,Negative
768,28/04/2022,"Kasarwadi, Pimple gurav road",0,0,0,Negative
769,28/04/2022,"60/feet road, Pimple Gurav",0,0,0,Negative
770,28/04/2022,Dapodi/Sangvi,0,0,0,Negative
771,29/04/2022,Dapodi Harris Bridge,0,0,0,Negative
772,29/04/2022,"Dapodi, Sai service",0,0,0,Negative
773,29/04/2022,"Wolf Colony, Pimpri",0,0,0,Negative
774,29/04/2022,"Kalewadi, Adarsh Nagar",0,0,0,Negative
775,29/04/2022,"Rahatani, New DP road",0,0,0,Negative
776,5/2/2022,"Shivajinagar, Vaidhwadi Nala catchment",0,0,0,Negative
777,5/2/2022,"Shivajinagar, Chaturshrungi Nala Catchment",0,0,0,Negative
778,5/2/2022,Kothrud Sanjeevan hospital,0,0,0,Negative
779,5/2/2022,Kothrud Karve road,0,0,0,Negative
780,5/2/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",0,0,0,Negative
781,5/2/2022,"Bus Depot (main), Kothrud",0,0,0,Negative
782,5/4/2022,"Mahalunge Road, Baner",0,0,0,Negative
783,5/4/2022,"Balewadi Phata, Baner",0,0,0,Positive
784,5/4/2022,Aundh,0,0,0,Negative
785,5/4/2022,"  Someshwarwadi, Pashan",0,0,0,Negative
786,5/4/2022," Jai Bhavani Nagar, Pashan",0,0,0,Negative
787,5/4/2022,"DP road, Botanical Garden, Aundh",0,0,0,Negative
788,5/5/2022,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
789,5/5/2022,"Shastri Nagar, Pimpri",0,0,0,Negative
790,5/5/2022,"Kasarwadi, Pimple gurav road",0,0,0,Negative
791,5/5/2022,"60/feet road, Pimple Gurav",0,0,0,Negative
792,5/5/2022,Dapodi/Sangvi,0,0,0,Negative
793,5/6/2022,Dapodi Harris Bridge,0,0,0,Negative
794,5/6/2022,"Dapodi, Sai service",0,0,0,Negative
795,5/6/2022,"Wolf Colony, Pimpri",33.7,36.8,34.1,Positive
796,5/6/2022,"Kalewadi, Adarsh Nagar",0,0,0,Negative
797,5/6/2022,"Rahatani, New DP road",0,0,0,Negative
798,5/9/2022,"Shivajinagar, Vaidhwadi Nala catchment",0,0,0,Negative
799,5/9/2022,"Shivajinagar, Chaturshrungi Nala Catchment",0,0,0,Negative
800,5/9/2022,Kothrud Sanjeevan hospital,0,0,0,Negative
801,5/9/2022,Kothrud Karve road,0,0,0,Negative
802,5/9/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",0,0,0,Negative
803,5/9/2022,"Bus Depot (main), Kothrud",0,0,0,Negative
804,5/10/2022,"Mahalunge Road, Baner",0,0,0,Negative
805,5/10/2022,"Balewadi Phata, Baner",0,0,0,Negative
806,5/10/2022,Aundh,0,0,0,Negative
807,5/10/2022,"  Someshwarwadi, Pashan",0,0,0,Negative
808,5/10/2022," Jai Bhavani Nagar, Pashan",0,0,0,Negative
809,5/10/2022,"DP road, Botanical Garden, Aundh,",0,0,0,Negative
810,5/11/2022,"Dattawadi, Rajaram Bridge",0,0,0,Negative
811,5/11/2022,"Vitthalwadi/Hingne Shantinagar,",0,0,0,Negative
812,5/11/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",0,0,0,Negative
813,5/11/2022,"Old bund garden, Yerwada",0,0,0,Negative
814,5/11/2022,"RTO Office, Alandi road, Yerwada",0,0,0,Negative
815,5/11/2022,"Shantinagar, Vishrantwadi",0,0,0,Positive
816,5/12/2022,Dapodi/Sangvi,0,0,0,Negative
817,5/12/2022,"60/feet road, Pimple Gurav",0,0,0,Negative
818,5/12/2022,"Kasarwadi, Pimple gurav road",0,0,0,Negative
819,5/12/2022,"Shastri Nagar, Pimpri",0,0,0,Negative
820,5/12/2022,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
821,13/05/2022,"Rahatani, New DP road",0,0,0,Negative
822,13/05/2022,"Kalewadi, Adarsh Nagar",0,0,0,Negative
823,13/05/2022,"Wolf Colony, Pimpri",0,0,0,Negative
824,13/05/2022,"Dapodi, Sai service",0,0,0,Negative
825,13/05/2022,Dapodi Harris Bridge,0,0,0,Negative
826,16/05/2022,"Shivajinagar, Vaidhwadi Nala catchment",0,0,0,Negative
827,16/05/2022,"Shivajinagar, Chaturshrungi Nala Catchment",0,0,0,Negative
828,16/05/2022,Kothrud Sanjeevan hospital,0,0,0,Negative
829,16/05/2022,Kothrud Karve road,0,0,0,Negative
830,16/05/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",0,0,0,Negative
831,16/05/2022,"Bus Depot (main), Kothrud",0,0,0,Negative
832,17/05/2022,"Mahalunge Road, Baner",0,0,0,Negative
833,17/05/2022,"Balewadi Phata, Baner",0,0,0,Negative
834,17/05/2022,Aundh,0,0,0,Negative
835,17/05/2022,"  Someshwarwadi, Pashan",0,0,0,Negative
836,17/05/2022," Jai Bhavani Nagar, Pashan",0,0,0,Negative
837,17/05/2022,"DP road, Botanical Garden, Aundh,",0,0,0,Negative
838,18/05/2022,"Dattawadi, Rajaram Bridge",0,0,0,Negative
839,18/05/2022,"Vitthalwadi/Hingne Shantinagar,",0,0,0,Negative
840,18/05/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",0,0,0,Negative
841,18/05/2022,"Old bund garden, Yerwada",0,0,0,Negative
842,18/05/2022,"RTO Office, Alandi road, Yerwada",0,0,0,Negative
843,18/05/2022,"Shantinagar, Vishrantwadi",0,0,0,Negative
844,19/05/2022,Dapodi/Sangvi,0,0,0,Negative
845,19/05/2022,"60/feet road, Pimple Gurav",0,0,0,Negative
846,19/05/2022,"Kasarwadi, Pimple gurav road",0,0,0,Negative
847,19/05/2022,"Shastri Nagar, Pimpri",0,0,0,Negative
848,19/05/2022,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
849,20/05/2022,"Rahatani, New DP road",0,0,0,Negative
850,20/05/2022,"Kalewadi, Adarsh Nagar",0,0,0,Negative
851,20/05/2022,"Wolf Colony, Pimpri",0,0,0,Negative
852,20/05/2022,"Dapodi, Sai service",0,0,0,Negative
853,20/05/2022,Dapodi Harris Bridge,0,0,0,Negative
854,23/05/2022,"Shivajinagar, Vaidhwadi Nala catchment",0,0,0,Negative
855,23/05/2022,"Shivajinagar, Chaturshrungi Nala Catchment",0,0,0,Negative
856,23/05/2022,Kothrud Sanjeevan hospital,0,0,0,Negative
857,23/05/2022,Kothrud Karve road,0,0,0,Negative
858,23/05/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",0,0,0,Negative
859,23/05/2022,"Bus Depot (main), Kothrud",0,0,0,Negative
860,24/05/2022,"Mahalunge Road, Baner",0,0,0,Negative
861,24/05/2022,"Balewadi Phata, Baner",33,35,34,Positive
862,24/05/2022,Aundh,0,0,0,Negative
863,24/05/2022,"Jai Bhavani Nagar, Pashan",0,0,0,Negative
864,24/05/2022,"  Someshwarwadi, Pashan",0,0,0,Negative
865,24/05/2022,"DP road, Botanical Garden, Aundh,",0,0,0,Negative
866,25/05/2022,"Dattawadi, Rajaram Bridge",0,0,0,Negative
867,25/05/2022,"Vitthalwadi/Hingne Shantinagar,",0,0,0,Negative
868,25/05/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",0,0,0,Negative
869,25/05/2022,"Old bund garden, Yerwada",0,0,0,Negative
870,25/05/2022,"RTO Office, Alandi road, Yerwada",0,0,0,Negative
871,25/05/2022,"Shantinagar, Vishrantwadi",0,0,0,Negative
872,26/05/2022,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
873,26/05/2022,"Shastri Nagar, Pimpri",0,0,0,Negative
874,26/05/2022,"Kasarwadi, Pimple gurav road",0,0,0,Negative
875,26/05/2022,"60/feet road, Pimple Gurav",0,0,0,Negative
876,26/05/2022,Dapodi/Sangvi,0,34.68,33.63,Positive
877,27/05/2022,"Rahatani, New DP road",0,0,0,Negative
878,27/05/2022,"Kalewadi, Adarsh Nagar",0,0,0,Negative
879,27/05/2022,"Wolf Colony, Pimpri",0,0,0,Negative
880,27/05/2022,"Dapodi, Sai service",0,0,0,Negative
881,27/05/2022,Dapodi Harris Bridge,0,0,0,Negative
882,30/05/2022,"Shivajinagar, Vaidhwadi Nala catchment",0,0,0,Negative
883,30/05/2022,"Shivajinagar, Chaturshrungi Nala Catchment",0,0,0,Negative
884,30/05/2022,Kothrud Sanjeevan hospital,0,0,0,Negative
885,30/05/2022,Kothrud Karve road,0,0,0,Negative
886,30/05/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",0,0,0,Negative
887,30/05/2022,"Bus Depot (main), Kothrud",34.79,34.1,0,Positive
888,31/05/2022,"Mahalunge Road, Baner",0,0,0,Negative
889,31/05/2022,"Balewadi Phata, Baner",34.6,34.01,0,Positive
890,31/05/2022,Aundh,0,0,0,Negative
891,31/05/2022,"  Someshwarwadi, Pashan",0,0,0,Negative
892,31/05/2022," Jai Bhavani Nagar, Pashan",0,0,0,Negative
893,31/05/2022,"DP road, Botanical Garden, Aundh,",34.67,34.34,0,Positive
894,6/1/2022,"Dattawadi, Rajaram Bridge",0,0,0,Negative
895,6/1/2022,"Vitthalwadi/Hingne Shantinagar,",0,0,0,Negative
896,6/1/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",0,0,0,Negative
897,6/1/2022,"RTO Office, Alandi road, Yerwada",0,0,0,Negative
898,6/1/2022,"Shantinagar, Vishrantwadi",35.01,32.56,34.26,Positive
899,6/2/2022,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
900,6/2/2022,"Shastri Nagar, Pimpri",0,0,0,Negative
901,6/2/2022,"Kasarwadi, Pimple gurav road",0,0,0,Negative
902,6/2/2022,"60/feet road, Pimple Gurav",0,0,0,Negative
903,6/2/2022,Dapodi/Sangvi,0,0,0,Negative
904,6/3/2022,"Rahatani, New DP road",0,0,0,Negative
905,6/3/2022,"Kalewadi, Adarsh Nagar",0,0,0,Negative
906,6/3/2022,"Wolf Colony, Pimpri",0,0,0,Negative
907,6/3/2022,"Dapodi, Sai service",0,0,0,Negative
908,6/3/2022,Dapodi Harris Bridge,0,0,0,Negative
909,6/6/2022,"Shivajinagar, Vaidhwadi Nala catchment",0,0,0,Negative
910,6/6/2022,"Shivajinagar, Chaturshrungi Nala Catchment",0,0,0,Negative
911,6/6/2022,Kothrud Sanjeevan hospital,0,0,0,Negative
912,6/6/2022,Kothrud Karve road,0,0,0,Negative
913,6/6/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",34,33,34,Positive
914,6/6/2022,"Bus Depot (main), Kothrud",0,0,0,Negative
915,6/7/2022,"Mahalunge Road, Baner",0,0,0,Negative
916,6/7/2022,"Balewadi Phata, Baner",32,31,33,Positive
917,6/7/2022,Aundh,0,0,0,Negative
918,6/7/2022,"  Someshwarwadi, Pashan",0,0,0,Negative
919,6/7/2022," Jai Bhavani Nagar, Pashan",0,0,0,Negative
920,6/7/2022,"DP road, Botanical Garden, Aundh,",0,0,0,Negative
921,6/8/2022,"Dattawadi, Rajaram Bridge",33,32,34,Positive
922,6/8/2022,"Vitthalwadi/Hingne Shantinagar,",0,0,0,Negative
923,6/8/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",0,0,0,Negative
924,6/8/2022,"RTO Office, Alandi road, Yerwada",0,0,0,Negative
925,6/8/2022,"Shantinagar, Vishrantwadi",34,32,33,Positive
926,6/9/2022,Dapodi/Sangvi,0,0,0,Negative
927,6/9/2022,"60/feet road, Pimple Gurav",0,0,0,Negative
928,6/9/2022,"Kasarwadi, Pimple gurav road",0,0,0,Negative
929,6/9/2022,"Shastri Nagar, Pimpri",0,0,0,Negative
930,6/9/2022,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
931,6/10/2022,Dapodi Harris Bridge,0,0,0,Negative
932,6/10/2022,"Dapodi, Sai service",0,0,0,Negative
933,6/10/2022,"Wolf Colony, Pimpri",37,33,34,Positive
934,6/10/2022,"Kalewadi, Adarsh Nagar",0,0,0,Negative
935,6/10/2022,"Rahatani, New DP road",31,35,35,Positive
936,13/06/2022,"Shivajinagar, Vaidhwadi Nala catchment",30,36,35,Positive
937,13/06/2022,"Shivajinagar, Chaturshrungi Nala Catchment",32,38,35,Positive
938,13/06/2022,Kothrud Sanjeevan hospital,0,0,0,Positive
939,13/06/2022,Kothrud Karve road,0,0,0,Negative
940,13/06/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",35,35,34,Positive
941,13/06/2022,"Bus Depot (main), Kothrud",30,34,33,Positive
942,14/06/2022,"Mahalunge Road, Baner",0,0,0,Negative
943,14/06/2022,"Balewadi Phata, Baner",31,34,34,Positive
944,14/06/2022,Aundh,0,0,0,Negative
945,14/06/2022,"  Someshwarwadi, Pashan",0,0,0,Negative
946,14/06/2022," Jai Bhavani Nagar, Pashan",36,36,35,Positive
947,14/06/2022,"DP road, Botanical Garden, Aundh,",0,0,0,Negative
948,15/06/2022,"Dattawadi, Rajaram Bridge",30,35,34,Positive
949,15/06/2022,"Vitthalwadi/Hingne Shantinagar,",30,36,34,Positive
950,15/06/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",30,35,34,Positive
951,15/06/2022,"RTO Office, Alandi road, Yerwada",37,35,36,Positive
952,15/06/2022,"Shantinagar, Vishrantwadi",29,33,33,Positive
953,16/06/2022,Dapodi/Sangvi,30,35,36,Positive
954,16/06/2022,"60/feet road, Pimple Gurav",31,36,36,Positive
955,16/06/2022,"Kasarwadi, Pimple gurav road",37,34,33,Positive
956,16/06/2022,"Shastri Nagar, Pimpri",31,36,35,Positive
957,16/06/2022,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
958,17/06/2022,Dapodi Harris Bridge,30,36,36,Positive
959,17/06/2022,"Dapodi, Sai service",25,35,33,Positive
960,17/06/2022,"Wolf Colony, Pimpri",29,36,35,Positive
961,17/06/2022,"Kalewadi, Adarsh Nagar",0,0,0,Negative
962,17/06/2022,"Rahatani, New DP road",29,34,32,Positive
963,20/06/2022,"Shivajinagar, Vaidhwadi Nala catchment",0,0,0,Negative
964,20/06/2022,"Shivajinagar, Chaturshrungi Nala Catchment",30,35,34,Positive
965,20/06/2022,Kothrud Sanjeevan hospital,0,0,0,Negative
966,20/06/2022,Kothrud Karve road,0,0,0,Negative
967,20/06/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",31,34,33,Positive
968,20/06/2022,"Bus Depot (main), Kothrud",25,30,29,Positive
969,21/06/2022," Jai Bhavani Nagar, Pashan",0,0,0,Negative
970,21/06/2022,"  Someshwarwadi, Pashan",0,0,0,Negative
971,21/06/2022,Aundh,35,38,35,Positive
972,21/06/2022,"DP road, Botanical Garden, Aundh,",30,36,34,Positive
973,21/06/2022,"Balewadi Phata, Baner",0,0,0,Negative
974,21/06/2022,"Mahalunge Road, Baner",0,0,0,Negative
975,22/06/2022,"Dattawadi, Rajaram Bridge",27,31,30,Positive
976,22/06/2022,"Vitthalwadi/Hingne Shantinagar,",28,32,31,Positive
977,22/06/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",30,33,33,Positive
978,23/06/2022,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
979,23/06/2022,"Shastri Nagar, Pimpri",32,35,33,Positive
980,23/06/2022,"Kasarwadi, Pimple gurav road",0,0,0,Negative
981,23/06/2022,"60/feet road, Pimple Gurav",0,0,0,Negative
982,23/06/2022,Dapodi/Sangvi,31,33,34,Positive
983,24/06/2022,"Rahatani, New DP road",30,33,32,Positive
984,24/06/2022,"Kalewadi, Adarsh Nagar",0,0,0,Negative
985,24/06/2022,"Dapodi, Sai service",32,34,33,Positive
986,24/06/2022,Dapodi Harris Bridge,33,39,34,Positive
987,24/06/2022,"Wolf Colony, Pimpri",33,37,34,Positive
988,27/06/2022,"Shivajinagar, Vaidhwadi Nala catchment",28.7,33,32.4,Positive
989,27/06/2022,"Shivajinagar, Chaturshrungi Nala Catchment",30.2,33.2,32.1,Positive
990,27/06/2022,Kothrud Sanjeevan hospital,32.8,36.9,34.9,Positive
991,27/06/2022,Kothrud Karve road,0,0,0,Negative
992,27/06/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",28.3,32.4,31.2,Positive
993,27/06/2022,"Bus Depot (main), Kothrud",27.7,31.4,30.7,Positive
994,28/06/2022," Jai Bhavani Nagar, Pashan",0,0,0,Negative
995,28/06/2022,"  Someshwarwadi, Pashan",30.5,34.1,33.2,Positive
996,28/06/2022,Aundh,28.8,32.7,31.8,Positive
997,28/06/2022,"DP road, Botanical Garden, Aundh,",31.8,34.5,33.2,Positive
998,28/06/2022,"Balewadi Phata, Baner",27.9,32.2,31.4,Positive
999,28/06/2022,"Mahalunge Road, Baner",31.9,35.5,34.3,Positive
1000,29/06/2022,"Shantinagar, Vishrantwadi",28.8,32.5,32,Positive
1001,29/06/2022,"RTO Office, Alandi road, Yerwada",0,0,0,Negative
1002,29/06/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",29.2,33,31.9,Positive
1003,29/06/2022,"Vitthalwadi/Hingne Shantinagar,",33.8,38.7,35,Positive
1004,29/06/2022,"Dattawadi, Rajaram Bridge",0,0,0,Negative
1005,30/06/2022,Dapodi/Sangvi,0,0,0,Negative
1006,30/06/2022,"60/feet road, Pimple Gurav",0,0,0,Negative
1007,30/06/2022,"Kasarwadi, Pimple gurav road",32.1,32.8,33.6,Positive
1008,30/06/2022,"Shastri Nagar, Pimpri",0,0,0,Negative
1009,30/06/2022,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
1010,7/1/2022,"Kalewadi, Adarsh Nagar",0,0,0,Negative
1011,7/1/2022,"Rahatani, New DP road",0,0,0,Negative
1012,7/1/2022,"Wolf Colony, Pimpri",29.2,33.4,32.4,Positive
1013,7/1/2022,"Dapodi, Sai service",0,0,0,Negative
1014,7/1/2022,Dapodi Harris Bridge,34.2,0,34.9,Positive
1015,7/4/2022,"Shivajinagar, Vaidhwadi Nala catchment",28.2,33.4,32.3,Positive
1016,7/4/2022,"Shivajinagar, Chaturshrungi Nala Catchment",26.5,31,30.1,Positive
1017,7/4/2022,Kothrud Sanjeevan hospital,29,33,32.3,Positive
1018,7/4/2022,Kothrud Karve road,0,0,0,Negative
1019,7/4/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",27.8,32,31.1,Positive
1020,7/4/2022,"Bus Depot (main), Kothrud",27.6,32.5,30.9,Positive
1021,7/5/2022," Jai Bhavani Nagar, Pashan",0,0,0,Negative
1022,7/5/2022,"  Someshwarwadi, Pashan",29.9,34.6,34,Positive
1023,7/5/2022,Aundh,31.6,35.2,34.5,Positive
1024,7/5/2022,"DP road, Botanical Garden, Aundh,",28.9,33,32.1,Positive
1025,7/5/2022,"Balewadi Phata, Baner",29.2,34,33.2,Positive
1026,7/5/2022,"Mahalunge Road, Baner",0,0,0,Negative
1027,7/6/2022,"Dattawadi, Rajaram Bridge",28.6,32.4,31.8,Positive
1028,7/6/2022,"Vitthalwadi/Hingne Shantinagar,",28,32.2,31.3,Positive
1029,7/6/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",27.6,31.2,30.3,Positive
1030,7/6/2022,"RTO Office, Alandi road, Yerwada",28,32.3,31.3,Positive
1031,7/6/2022,"Shantinagar, Vishrantwadi",30.4,34,33.3,Positive
1032,7/7/2022,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
1033,7/7/2022,"Shastri Nagar, Pimpri",0,34.2,33.5,Positive
1034,7/7/2022,"Kasarwadi, Pimple gurav road",34.3,34.4,34.1,Positive
1035,7/7/2022,"60/feet road, Pimple Gurav",29,33.9,32,Positive
1036,7/7/2022,Dapodi/Sangvi,0,0,0,Negative
1037,7/8/2022,"Rahatani, New DP road",29,33.2,32.1,Positive
1038,7/8/2022,"Kalewadi, Adarsh Nagar",29.1,32.4,32.9,Positive
1039,7/8/2022,"Wolf Colony, Pimpri",29.8,33.7,32.9,Positive
1040,7/8/2022,"Dapodi, Sai service",30.9,34.2,33.2,Positive
1041,7/8/2022,Dapodi Harris Bridge,29.3,32.9,32,Positive
1042,7/11/2022,"Shivajinagar, Vaidhwadi Nala catchment",29.6,32.9,31.9,Positive
1043,7/11/2022,"Shivajinagar, Chaturshrungi Nala Catchment",29.3,32.3,31.2,Positive
1044,7/11/2022,Kothrud Sanjeevan hospital,31.8,35.1,34.1,Positive
1045,7/11/2022,Kothrud Karve road,0,0,0,Negative
1046,7/11/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",31.8,35.2,33.4,Positive
1047,7/11/2022,"Bus Depot (main), Kothrud",30,34.3,32.5,Positive
1048,7/12/2022," Jai Bhavani Nagar, Pashan",0,0,0,Negative
1049,7/12/2022,"  Someshwarwadi, Pashan",31.1,34.2,33,Positive
1050,7/12/2022,Aundh,0,0,0,Negative
1051,7/12/2022,"DP road, Botanical Garden, Aundh,",0,0,0,Negative
1052,7/12/2022,"Balewadi Phata, Baner",0,0,0,Negative
1053,7/12/2022,"Mahalunge Road, Baner",0,0,0,Negative
1054,13/07/2022,"Dattawadi, Rajaram Bridge",0,0,0,Negative
1055,13/07/2022,"Vitthalwadi/Hingne Shantinagar,",0,0,0,Negative
1056,13/07/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",0,0,0,Negative
1057,13/07/2022,"Shantinagar, Vishrantwadi",0,0,0,Negative
1058,14/07/2022,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
1059,14/07/2022,"Shastri Nagar, Pimpri",0,0,0,Negative
1060,14/07/2022,"Kasarwadi, Pimple gurav road",0,0,0,Negative
1061,14/07/2022,Dapodi/Sangvi,0,0,0,Negative
1062,15/07/2022,"Rahatani, New DP road",0,0,0,Negative
1063,15/07/2022,"Dapodi, Sai service",0,0,0,Negative
1064,15/07/2022,Dapodi Harris Bridge,32,35.3,34.3,Positive
1065,18/07/2022,"Shivajinagar, Vaidhwadi Nala catchment",28.9,32.6,32.1,Positive
1066,18/07/2022,"Shivajinagar, Chaturshrungi Nala Catchment",0,34.3,33,Positive
1067,18/07/2022,Kothrud Karve road,0,0,0,Negative
1068,18/07/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",30.4,33.6,0,Positive
1069,18/07/2022,"Bus Depot (main), Kothrud",25.3,29.7,28.9,Positive
1070,19/07/2022,"Mahalunge Road, Baner",0,0,0,Negative
1071,19/07/2022,"Balewadi Phata, Baner",30,34.8,34.1,Positive
1072,19/07/2022,Aundh,0,0,0,Negative
1073,19/07/2022,"  Someshwarwadi, Pashan",0,0,0,Negative
1074,19/07/2022," Jai Bhavani Nagar, Pashan",0,0,0,Negative
1075,19/07/2022,"DP road, Botanical Garden, Aundh,",0,0,0,Negative
1076,20/07/2022,"RTO Office, Alandi road, Yerwada",30.1,33.5,32.1,Positive
1077,20/07/2022,"Shantinagar, Vishrantwadi",29.9,33.5,33.2,Positive
1078,20/07/2022," Kasba Peth, Juna Bazaar, Shivajinagar",28.6,32.6,31.7,Positive
1079,20/07/2022," Dattawadi, Rajaram Bridge",28.5,32.9,32,Positive
1080,20/07/2022,"Vitthalwadi/Hingne Shantinagar,",0,0,0,Negative
1081,21/07/2022,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
1082,21/07/2022,"Shastri Nagar, Pimpri",32.5,36.5,35.2,Positive
1083,21/07/2022,"Kasarwadi, Pimple gurav road",30.7,34.4,33.1,Positive
1084,21/07/2022,"60/feet road, Pimple Gurav",29.8,0,32.7,Positive
1085,21/07/2022,Dapodi/Sangvi,0,0,0,Negative
1086,22/07/2022,"Rahatani, New DP road",30.1,34.4,32.8,Positive
1087,22/07/2022,"Wolf Colony, Pimpri",31.5,35.1,35.2,Positive
1088,22/07/2022,"Dapodi, Sai service",0,0,0,Negative
1089,22/07/2022,Dapodi Harris Bridge,0,0,0,Negative
1090,25/07/2022,"Shivajinagar, Vaidhwadi Nala catchment",31.3,36.3,33.4,Positive
1091,25/07/2022,"Shivajinagar, Chaturshrungi Nala Catchment",31.1,35.7,33.6,Positive
1092,25/07/2022,Kothrud Sanjeevan hospital,36.7,0,37.1,Negative
1093,25/07/2022,Kothrud Karve road,0,0,0,Negative
1094,25/07/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",0,0,0,Negative
1095,25/07/2022,"Bus Depot (main), Kothrud",30.4,37.2,34.4,Positive
1096,26/07/2022,"Mahalunge Road, Baner",35.5,0,0,Negative
1097,26/07/2022,"Balewadi Phata, Baner",28.9,33.3,32.1,Positive
1098,26/07/2022,Aundh,37,0,0,Negative
1099,26/07/2022,"  Someshwarwadi, Pashan",0,0,0,Negative
1100,26/07/2022," Jai Bhavani Nagar, Pashan",0,0,0,Negative
1101,26/07/2022,"DP road, Botanical Garden, Aundh,",33.2,38.8,34.2,Positive
1102,27/07/2022," Dattawadi, Rajaram Bridge",34.1,38.5,36.9,Negative
1103,27/07/2022,"Vitthalwadi/Hingne Shantinagar,",0,0,34.4,Negative
1104,27/07/2022," Kasba Peth, Juna Bazaar, Shivajinagar",28.6,33.5,31.7,Positive
1105,27/07/2022,"RTO Office, Alandi road, Yerwada",30.2,34.1,32.4,Positive
1106,27/07/2022,"Shantinagar, Vishrantwadi",31.1,35,33.5,Positive
1107,28/07/2022,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
